index	year	y1	y2	y3	y4	y5	b	x1	x2	x3	x4	x5	e	w1	w2	w3	w4	w5	TA
1596	2007	7772491.677468702	29250314.74527107	31119992.18986608	8732671.038139802	1456737	980341	18045.25	552468.3633317866	21239512.70128566	690883.3078632619	49240593.42835127	7084075.5	75.4506151996472	.5435067066143491	.0481792581153321	.0073007302764662	.0306112355671146	86294113.56872784
1596	2008	8419689.179884054	30575397.37541831	35178206.26125476	9650238.034407342	1339345	1791281	17481.5	653650.6953947722	27003691.6922623	317258.1433135869	52545144.55903338	8150802	76.93575810249701	.487574475347217	.0326292386848279	.014368815857996	.0195931577747153	92734838.27114381
1596	2009	7669108.562962587	27758868.78610983	31237385.53038968	13459374.89549447	1290813	2525434	16565.5	722387.4803507479	20078987.36455642	358777.2190239817	52914158.84597393	8447230	72.08877197602828	.4343022462885978	.0271632410924431	.0064201498628249	.0114767578116944	85454801.87415165
1596	2010	9252719.675903412	23094176.01537768	23510551.87586101	18714141.34464778	1278804	1484658	15561.25	777669.3117814132	16968165.00719282	372082.5804878507	50489396.72642615	9078419	74.31279334137425	.4081788954048667	.0194863912878792	.0044104232519255	.0071845042170782	81300508.41603044
1605	2001	83964.41699882722	1006091.720727694	573904.8568435514	464403.2393081964	7750	39294	593.5	43375.13402088949	685296.7436856333	55084.69771921278	1195446.119410529	168754.5	43.36352100955998	.2174665799924053	.062129265143988	.0238603248612624	.0373721165879635	2285475.456686091
1605	2002	56341.90648934434	850519.4126590721	521720.8128317028	477143.9541968714	9005	42392	509.75	39844.74216079347	489962.9746861235	25508.09914682404	1189529.751485105	166216.5	47.68420314211347	.2272313950705911	.0514491335444614	.0176853167017312	.0224008859956218	2027326.306058663
1605	2003	44606.94056686255	802431.2820903091	379271.2603843715	502966.5556696774	7717	30996	420.5	35660.66981198014	410550.235856648	23803.77075515713	1068112.75001975	189527.25	48.73596123303721	.2344238975817923	.0383703462851569	.0098700075146648	.0152533116038298	1828115.390599841
1605	2004	34541.68531562793	764362.4430105892	253381.2155714297	505874.2363071779	6672	20060	400.75	32674.87441317452	375597.651669608	23277.00834639519	946126.168362863	195433.5	53.9371789527874	.22473651335816	.035535917317638	.0083906770255272	.0122908417500879	1659994.554122495
1623	2001	200184.5725840547	571734.020315844	283484.8409075455	518234.178430967	9555	2359	419.25	16610.41699615053	444194.8617707529	63811.31539148743	1004995.135609274	108279.75	54.12029050318641	.4097547857947193	.0443335790723384	.007087420266522	.0311395635794331	1688078.887891212
1623	2002	162513.1002437614	638639.0405517675	268000.8054118356	652519.9337032612	12195	1617	447	16840.95173228328	459474.8616505259	60122.75068617647	1109445.810617873	121498	55.38734085808296	.4320214813736433	.0325184356905958	.0056002863576843	.0225072956452027	1834340.075590085
